,MI Scores
nprocs,0.12478054798726734
total_POSIX_OPENS,0.12467212459132215
total_STDIO_MAX_BYTE_WRITTEN,0.12445002576024888
total_STDIO_OPENS,0.12397046588672056
total_STDIO_BYTES_WRITTEN,0.12383229095818671
total_POSIX_MAX_BYTE_READ,0.12364427258208233
total_STDIO_WRITES,0.12362893330548408
total_POSIX_FILE_NOT_ALIGNED,0.12357357895876031
total_POSIX_ACCESS2_ACCESS,0.12347724403958915
total_STDIO_MAX_BYTE_READ,0.12324192229584285
total_STDIO_READS,0.1223640159048589
total_POSIX_FILENOS,0.12203161562583897
total_POSIX_ACCESS3_ACCESS,0.12196236920257675
total_POSIX_MAX_READ_TIME_SIZE,0.12195710679267868
total_STDIO_BYTES_READ,0.12156406433377864
total_POSIX_MAX_BYTE_WRITTEN,0.12014171931087825
total_POSIX_WRITES,0.11947970605153047
total_POSIX_SEQ_WRITES,0.11939701553939142
total_POSIX_SIZE_WRITE_0_100,0.11919606644925662
total_POSIX_ACCESS4_ACCESS,0.11911991915259224
total_POSIX_CONSEC_WRITES,0.11909468786367439
total_POSIX_SIZE_WRITE_100_1K,0.11903656951332342
num_nodes,0.11862493502282756
total_POSIX_SIZE_READ_1K_10K,0.11835602262149969
total_POSIX_SIZE_WRITE_1K_10K,0.11810458336447494
total_POSIX_ACCESS4_COUNT,0.11795028010165232
total_STDIO_SLOWEST_RANK_BYTES,0.11760100830875375
total_STDIO_FASTEST_RANK_BYTES,0.1167823490702724
total_POSIX_ACCESS2_COUNT,0.11677138316840785
POSIX_Write_Fraction,0.11615296425232124
STDIO_IO_RATE,0.1161484964581232
POSIX_Read_Fraction,0.11598475161645394
POSIX_Meta_Fraction,0.11537326302423712
total_POSIX_ACCESS1_COUNT,0.11523856326866633
total_POSIX_ACCESS3_COUNT,0.11468126341774632
total_POSIX_F_MAX_READ_TIME,0.11453017287653611
total_POSIX_MAX_WRITE_TIME_SIZE,0.11402921919755182
total_POSIX_ACCESS1_ACCESS,0.11317521960562926
total_STDIO_SEEKS,0.11158781333076073
total_STDIO_FASTEST_RANK,0.11123811585997456
STDIO_Read_Fraction,0.11085706760584146
total_POSIX_F_MAX_WRITE_TIME,0.10663948419092861
total_POSIX_READS,0.10395428674387874
total_STDIO_SLOWEST_RANK,0.09870010341605029
node_hours,0.09668241309139947
total_POSIX_FILE_ALIGNMENT,0.09302252060837368
total_POSIX_CONSEC_READS,0.09143019001940567
total_POSIX_SEQ_READS,0.09134001201400044
total_POSIX_BYTES_READ,0.08574487325316471
